id,gloss,text
0001,سوال هو,من هو
0002,هو معلم لغه اشاره,هو مدرس لغه اشاره
0003,استفهام هو معلم هو,هل انت مدرس
0004,هو معلم لا انا مدرسه,انت لست مدرس انا طالب
0005,هو سوال,هو من
0006,هو صديق مدرسه,هو زميلي في المدرسه
0007,استفهام هو صديق مدرسه,هل هو زميلك في المدرسه
0008,انا اسره رقم ثلاث اشخاص,اسرتي تتكون من ثلاث اشخاص
0009,رقم عمر ابن بنت,كم عمر ابنتك
0010,عمر اربع سن عمر,عمرها اربع سنوات
0011,عمر سن خمسون سن,عمره خمسين سنه
0012,سوال بنت ابن,اين ابنته
0013,عمر ابن خمسون سن,عمر ابنه خمسين سنه
0014,معرفه هو لغه اشاره,هو يعرف لغه الاشاره
0015,معرفه لغه اشاره,اعرف لغه الاشاره
0016,هو معرفه ام لغه اشاره,هل تعرف والدتك لغه الاشاره
0017,لا معرفه لغه اشاره,لا تعلم لغه الاشاره
0018,ممكن هو قدره كتابه اسم هو,ممكن تكتب اسمك
0019,انا كتابه,انا اكتب
0020,استفهام تاريخ الان سوال,ما هو تاريخ اليوم
0021,الان واحد شهر عشر,اليوم هو واحد اكتوبر
0022,انا ذهاب مدرسه سبب كره_قدم,انا اذهب الى المدرسه لالعب كره القدم
0023,انا قلب قدره,انوي القيام به
0024,هو رغبه شرب سوال,ماذا تريد ان تشرب
0025,انا رغبه شرب شاي,انا اريد ان اشرب الشاي
0026,هو رغبه اكل سوال,ماذا تريد ان تاكل
0027,انا رغبه اكل رز,اريد ان اكل رز
0028,انا رغبه ذهاب مكتبه بعد صيف,اريد ان اذهب الى المكتبه بعد الظهر
0029,هو رغبه بعد صيف سوال,ماذا تريد ان تفعل بعد الظهر
0030,انا رغبه ذهاب لوحه بقاله,اريد ان اذهب الى السوبرماركت بعد الظهر
0031,سبب رغبه شراء,ماذا تريد ان تشتري
0032,انا رغبه كوب شراء,اريد شراء كوب
0033,انا رغبه معرفه لغه اشاره,اريد ان اتعلم لغه الاشاره
0034,انا رغبه ذهاب مدرسه سبب قراءه غدا,اريد ان اذهب الى المدرسه لقراءه الكتب غدا
0035,رقم معلم مدرسه هو,كم عدد المدرسين في مدرستك
0036,رقم اشخاص مدرسه هو مدرسه,كم عدد الاشخاص في مدرستك
0037,سوال قط,اين القطه
0038,قط صغير تحت طاوله,القط الصغير تحت الطاوله
0039,اب هو منزل يوجد,والدك في المنزل
0040,لا منزل لا_يوجد,ليس في المنزل
0041,سوال اب,اين والدك
0042,اب مستشفى يوجد,والدي في المستشفى
0043,سوال عمل,اين يعمل
0044,صديق انا مدرسه,صديقي في المدرسه
0045,انا ام منزل,امي في المنزل
0046,سوال كوب شرب,اين الكوب
0047,سوال صديق هو,اين اصدقائك
0048,قراءه سوال مكان مدرسه,القراءه في المدرسه
0049,طاوله هو سوال,ماذا يوجد على الطاوله
0050,طاوله كتاب لاب_توب يوجد,هناك كتب و كمبيوترعلى الطاوله
0051,هو اسم هو,ما اسمه
0052,اسم هو ولد خلف,ما اسم ذلك الرجل في الخلف
0053,استئذان انا كرسي الان,ممكن اجلس على الكرسي
0054,استئذان دعوه كرسي,من فضلك اجلس
0055,سوال كرسي يوجد سوال,ماذا يوجد على الكرسي
0056,كرسي قط صغير فوق_كرسي,هناك قط صغير على الكرسي
0057,يوجد مدرسه يوجد بيع,يوجد متجر في المدرسه
0058,رقم وقت الان,كم الوقت الان
0059,وقت سوال عشر,الساعه العاشره
0060,وقت هو صيف اكل وقت سوال,متى تاكل في الظهر
0061,تاريخ وقت اب انا منزل اخر تاريخ,متى سيعود ابي الى المنزل
0062,وقت خمس ليل,الوقت الخامسه مساء
0063,هو تاريخ ذهاب سينما فيلم تاريخ,متى نذهب الى السينما
0064,هو الان مطر,يوجد مطر الان
0065,لا مطر الان لا,لا يوجد مطر الان
0066,لا برد الان,لا يوجد برد الان
0067,سوال صحه هو,كيف حالك
0068,شكر د,شكرا دكتور
0069,هو مطر غدا,هل ستمطر غدا
0070,لا غدا مطر لا,لن تمطر غدا
0071,هو عمل سوال,ماذا تعمل
0072,انا شعر قراءه,انا اقرا
0073,انا شراء تفاحه موزه انواع,انا اشتريت فواكه
0074,انا سعيد مقابله,انا سعيد بلقائك
0075,هو رغبه رياضه سوال قلب رغبه سوال,ما هي الرياضه التي تحبها
0076,انا حب كره_قدم كثير حب,احب لعب كره القدم كثيرا
0077,سوال هو شراء تفاحه,هل اشتريت التفاح
0078,انا شراء تفاحه لا_يوجد,انا لم اشتري التفاح
0079,هو لبس جيد حلو,لبسه جميل
0080,جو برد قليل,الجو بارد قليلا
0081,انا الان ماضي تعب,كنت متعب قليلا امس
0082,هو مشاهده هاتف مشاهده,هل رايت هاتفي
0083,هو صديق انا,هو صديقي
0084,سوال عمر اخ هو,كم هو عمر اخيك
0085,انا استيقاظ وقت خمس صباح كل_يوم,استيقظ في الخامسه كل صباح
0086,نهايه كتابه منزل نهايه,انتهيت من واجباتي
0087,انا خلط اكل خلط كل_يوم ليل,اطبخ كل ليله
0088,انا خوف,انا خائف
0089,سبب خوف,لماذا انت خائف
0090,دعوه مع دعوه اكل ليل دعوه الان ليل,لنتناول العشاء معا الليله
0091,سوال كرسي حمام,اين الحمام
0092,انا رغبه شرب بقره,اريد ان اشرب الحليب
0093,اعاده عوده مدرسه حافله,نعود الى المدرسه بالحافله
0094,هو اكل صباح اكل هو,هل اكلت الفطور
0095,انا اب خلط اكل نارغرفه,ابي يعد العشاء في المطبخ
0096,مكتبه مدرسه جميل,مكتبه المدرسه جميله
0097,لا حب اكل موز,لا احل اكل الموز
0098,كتاب جواز تذكره طياره حقيبه_يد يوجد,جواز سفري و تذكره الطياره في الحقيبه
0099,انا اب حادث,تعرض ابي لحادث
0100,انا اكل ليل وقت تسع,انا اكل العشاء الساعه التاسعه
0101,انا زوج عمل كثير,زوجي يعمل كثيرا
0102,زوج عمل سوال اكل لوحه,زوجي يعمل في المطعم
0103,هو طفل رغبه لعب انواع كثير,يريد الطفل العاب متنوعه
0104,رغبه حذاء خوف,اريد حذاء جديد
0105,انا رغبه تلفاز حاسب خوف,اريد كمبيوتر جديد
0106,هو رغبه دراجه,اريد دراجه
0107,زهره مطر رغبه,الزهور تحتاج المطر
0108,استفهام هو جوع اكل هو,هل انت جائع
0109,هو يوجد سلطه اتقان,هل لديك سلطه طازجه
0110,استفهام هو تفاحه اتقان,هل لديك تفاح طازج
0111,اخ جوع,اخي جائع
0112,هو ام جوع,والدتك جائعه
0113,الان تفاحه موزه يوجد لوحه,يوجد اليوم تفاح و موز في السوبرماركت
0114,هو مساعده,هل تساعدني
0115,شرطه استفهام منزل ام سوال,يسالني الشرطي عن مكان والدتي
0116,تاريخ زوج هو ذهاب سينما,متى سيذهب زوجك للسينما
0117,معلم ذهاب مركز صم يوم الاربعاء,يذهب المعلم الى مركز الصم يوم الاربعاء
0118,شخص صم ذهاب مركز صم,يذهب الاصم الى مركز الصم
0119,انا بيتزا سوال لوحه اكل,انا اكل البيتزا في المطعم
0120,هو رغبه حب اكل شوكولاته بسكوت حب هو,تحب ان تاكل البسكوت و الشوكولاته
0121,انا سياره ركوب ذهاب لوحه بقاله شوكولاته,انا اقود الى السوبرماركت
0122,بنت دراجه,البنت تركب دراجه
0123,انا صديق دراجه ماضي,ركب صديقي دراجه امس
0124,شرطه دراجه_ناريه,يركب الشرطي دراجه ناريه
0125,ولد صم هو سياره قدره,الرجل الاصم يقود سياره
0126,مدرسه شخص سياره ذهاب وصل مركز سياره,ياتي الطالب الى المعهد بالسياره
0127,استفهام الحذاء مشاهده سوال,هل رايت الحذاء
0128,هو قدره مشاهده نظاره,هل رايت النظارات
0129,لاب_توب حاسب مشاهده لاب_توب,هل رايت الكمبيوتر
0130,انا ذهاب سينما الان ليل,انا ذاهب الى السينما الليله
0131,اخ ذهاب اكل لوحه,ذهب اخي الى المطعم
0132,انا ذهاب لوحه شوكولاته بقاله انواع شراء,انا ذاهب الى السوبرماركت
0133,زوج ذهاب لوحه بقاله,يذهب الزوج الى السوبرماركت
0134,دعوه نداء اكل رغبه تعداد,اطلب من النادل
0135,الان برد ليل برد,الجو بارد الليله
0136,الان برد ماضي مركز صم,شعرت بالبرد في مركز الصم امس
0137,انا شعور برد حافله داخل ليل الان,انا اشعر بالبرد في الحافله الليله
0138,شراء شاي شرب رغبه هو,هل تريد شراء الشاي
0139,انا شراء شوكولاته,انا اشتري الشوكولاته
0140,ولد شخص شراء ماء,الولد يشتري الماء
0141,انا غدا حاسب شراء,سوف اشتري كمبيوتر غدا
0142,الان خس ال خ س لوحه بقاله,اليوم نشتري الخس من السوبرماركت
0143,انا الان خلط اكل,انا اطبخ الان
0144,الان خلط لا,لا اطبخ الان
0145,وقت سوال حافله دخول,متى تاتي الحافله
0146,وقت رئيس ذهاب وقت سوال,متى ياتي الرئيس
0147,رقم بسكوت مال تفاحه مال رقم,كم سعر البسكوت والتفاح
0148,زوج هو معرفه لغه اشاره,زوجك يتعلم لغه الاشاره
0149,هو صديق هو معرفه لغه اشاره,صديقك يتعلم لغه الاشاره
0150,بنت هو قراءه,المراه تقرا
0151,ولد قراءه,الولد يقرا
0152,صديق كتاب قراءه,صديقي يقرا كتاب
0153,ام قراءه كل_يوم السبت,الام تقرا كتاب يوم السبت
0154,اخ حب كتاب خوف هو,يحب اخوك قراءه كتاب جديد
0155,انا حب شاي,نحن نحب الشاي
0156,انا حب بقره اتقان,انا احب الحليب الطازج
0157,طفل حب ثلج هو,الطفل يحب الثلج
0158,انا حب شوكولاته بقره,انا احب الشوكولاته و الحليب
0159,هو حب شوكولاته بسكوت,تحب الشوكولاته او البسكوت
0160,سلطه اتقان ممتاز,السلطه الطازجه طعمها جيد
0161,موزه تفاحه اتقان ممتاز جيد,طعم الموز والتفاح الطازج جيد
0162,انا صديق كتابه,صديقي يكتب
0163,ممكن صديق قدره كتابه,يمكن لصديقي ان يكتب
0164,لعب هو ممتاز,اللعبه جميله
0165,انا بحث تفاحه احمر,انا ابحث عن تفاح احمر
0166,هو رغبه قهوه شاي رغبه سوال,هل تريد قهوه او شاي
0167,هو بحث قهوه شاي,هل تريد شاي ام قهوه
0168,انا بحث تفاحه احمر شوكولاته,انا ابحث عن تفاح احمر و شوكولاته
0169,رئيس اتصال,الرئيس على الهاتف
0170,استفهام غدا صديق لقاء,هل ستلتقي بصديقك غدا
0171,انا غدا صديق لقاء,سالتقي بصديقي غدا
0172,هو شرب هو,هو يشرب ماء
0173,انا شرب ماضي,شربت الماء امس
0174,ولد شخص ماء هو,الولد يشرب الماء
0175,نسيان دراجه,نسيت الدراجه
0176,انا جميع جوع,نحن جائعون
0177,حافله خوف هو,الحافله جديده
0178,سوال بيتزا,اين البيتزا
0179,نظاره غالي,النظارات غاليه
0180,حذاء رخيص,الحذاء رخيص
0181,حاسب لاب_توب غالي,الكمبيوتر غالي السعر
0182,شوكولاته صحه,الشوكولاته صحيه
0183,اب مستشفى منزل سبب حادث,والدي في المستشفى لانه تعرض لحادث
0184,استئذان عصير تفاحه,من فضلك اعطني عصير تفاح
0185,رغبه صوره قط صغير,ابني يريد تصوير القط الصغير
0186,انا خوف ولاده قبل وقت,اخاف من الولاده قبل الاوان
0187,انا ام ذهاب مستشفى سبب مرض,ذهبت والدتي الى المستشفى لانها مريضه
0188,انا نوم تقلب,اجد صعوبه في النوم
0189,ابن زعل سبب كلب موت,ابني حزين لان الكلب مات
0190,جد ماضي هو حزن سبب طير موت,جدي حزين لان الطائر مات
0191,انا زعل سبب قط موت الان صباح,انا حزين لان قطتي ماتت هذا الصباح
0192,انا ذهاب مزرعه شراء بيض موزه انواع,اذهب الى المزرعه لشراء البيض و الموز
0193,وجوب استيقاظ وقت سبع كل_يوم,يجب ان استيقظ الساعه السادسه كل يوم
0194,انا صديق صم قدره ترجمه اشاره,صديقي اصم لكن يمكنني ان اترجم له
0195,استئذان تذكره طياره عطاء,من فضلك اعطني تذكره الرحله
0196,ترجمه ذهاب مركز الثلاثاء مستمر,المترجم يذهب الى المعهد كل يوم ثلاثاء
0197,انا حفيد رغبه سباحه بحر,احفادي يرغبون السباحه في البحر
0198,انا معرفه اخبار ترجمه مشاهده معرفه,انا افهم الاخبار مع الترجمه
0199,مشاهده شاشه قليل مشاهده اخبار,نادرا اشاهد الاخبار التلفزيونيه
0200,انا غدا وقت اثنان عمل خلاص,ينتهي عملي غدا الساعه الثانيه
0201,هو هاتف اتصال شرطه,انت اتصلت بالشرطه
0202,رغبه ساعه تخفيض طياره معاق,اريد خصم الرحله للمعاقين
0203,انا اسم سياره اسم,اريد نقل ملكيه سيارتي
0204,استفهام صدر خوف مسوول سوال سياره اسم,من سيكون المالك الجديد
0205,هو وجوب شرب زياده,يجب ان تشرب الكثير من الماء
0206,كتاب صباح صيف مكتبه لوحه صباح صيف,المكتب مفتوح في الصباح و الظهر
0207,ولد سرق هاتف,سرق شخص ما هاتفي
0208,انا ولد هو هاتف اخذ اختفاء,اخذ رجل الهاتف وهرب
0209,انت سوال ذهاب جري,الى اين ركض
0210,مستمر جري بحر,ركض الى الشاطئ
0211,سوال هو ماضي هو,اين كنت
0212,هو ماضي كوفي انتظار,كنت في مقهى
0213,هو انا بحث هاتف بحث جواب,سوف ابحث عن الهاتف و نبلغك
0214,هو رغبه اسبوع اخر راحه سعيد,اتمنى لك عطله نهايه اسبوع سعيده
0215,انا رغبه جواز سفر رغبه,اريد الحصول على جواز سفر
0216,رغبه شكوى,اريد تقديم شكوى
0217,انا رغبه طبيب د,انا بحاجه الى طبيب
0218,د يوجد غدا يوجد,الطبيب موجود غدا
0219,مشكله سوال,ما المشكله
0220,انا لا صحه سيئ,صحتي غير جيده
0221,انا استفراغ ثاني اسهال انا,انا اتقيا و اعاني من الاسهال
0222,تاريخ سوال اسهال تاريخ فتح,منذ متى تعاني من الاسهال
0223,ثلاث قبل,ثلاث ايام
0224,هو حمى هو,هل لديك حمى
0225,نعم انا دوخه,نعم انا اعاني من دوخه
0226,انا ماضي ثلاث اكل سوال,ماذا اكلت قبل ثلاث ايام
0227,انا رغبه وقت موعد صوره بطن رغبه,اريد موعدا لاجراء تصوير البطن بالموجات فوق الصوتيه
0228,هو تجنب بقره خضار انواع تجنب,تجنب منتجات الالبان و الخضار
0229,انا قدره دجاج سمكه,يمكنني اكل الدجاج و السمك
0230,تمام اريد اكل رز مكرونه قدره,بالطبع يمكن ان تاكل الرز و المكرونه
0231,انا عمل لا_يوجد تامين لا_يوجد,انا عاطل عن العمل و ليس لدي تامين
0232,هو دفع مال سوال,اين دفع الرسوم
0233,بنك اي_شي,في احد البنوك
0234,هو مقابله ملكيه مقابله محادثه,هل تحدثت الى المالك
0235,اعاده عوده ثلاث عوده,تعال مره اخرى بعد ثلاث ايام
0236,هو عوده مع هو,هل جئتم معا
0237,ان_شاء_الله غدا دفع,ان شاء الله ادفع غدا
0238,رغبه مستقبل سعيد,اتمنى لك مستقبل سعيد
0239,مهم بطاقه هويه اخذ صوره,احتاج الى بطاقه الهويه و صوره ضوئيه
0240,ولد سرقه حقيبه_يد,سرق الرجل حقيبتي
0241,هو اختبار اخر شهاده,سيتم اختبارك و ستحصل على النتائج
0242,هو رخصه رسمي واحد ثلاث,ستكون الرخصه جاهزه في غضون ثلاث اسابيع
0243,بطاقه سوال اسابيع ثلاث,سيكون التصريح جاهز في غضون ثلاث اسابيع
0244,جواز كتاب اتقان ممكن عشر_ايام,سيكون جواز السفر جاهز في غضون عشر ايام
0245,وجوب دفع جواز سفر,يجب عليك دفع رسوم جواز السفر
0246,شكر,شكرا
0247,شكر مساعده,شكرا لمساعدتك
0248,صباح خير,صباح الخير
0249,صباح خير طاعه خدمه سوال,صباح الخير كيف يمكنني ان اخدمك
0250,صباح خير هو رغبه مساعده,صباح الخير هل تحتاج مساعده
0251,ولد صفه سوال,صف الرجل
0252,ولد طويل نحيف شعر اصفر قصير,كان الرجل طويل ونحيل وشعره اشقر قصير
0253,انا بطن الم,عندي الم في المعده
0254,انا جواز تاريخ انتهاء,جواز سفري منتهي الصلاحيه
0255,سبب ولد شخص لبس سوال,ماذا كان يرتدي الرجل
0256,ولد لبس بنطال احمر حذاء ابيض,الرجل يرتدي بنطال احمر و حذاء ابيض
0257,سوال جواز تاريخ انتهاء تاريخ سوال,ماهو تاريخ نهايه صلاحيه الجواز
0258,سن خمس,خمس سنوات
0259,سوال ضياع حقيبه_يد,كيف فقدت الحقيبه
0260,ماضي مرض خطر,اصبت بمرض خطير
0261,هاتف هويه ضياع سوال,كيف فقدت هاتفك و هويتك
0262,هو بطن ت س م م,لديك تسمم غذائي
0263,انا هويه ضياع,فقدت هويتي
0264,انا ممتاز اتقان,حالي ممتاز
0265,وقت مسافه طياره خارج مسافه تاريخ سوال,ما هي الفتره التي ستقضيها بالسفر الى الخارج
0266,تاريخ سرقه تاريخ سوال,متى حدثت السرقه
0267,ماضي,منذ زمن
0268,تاريخ فتح مرض,متى بدا المرض
0269,مرض ماضي صغير مرض,مرضت عندما كنت طفل
0270,دعوه انا رغبه مساعده,مرحبا انا بحاجه الى مساعده
0271,انا دعوه طاعه مساعده,مرحبا كيف يمكنني المساعده
0272,دعوه اخبار حال جيد,مرحبا ما اخبارك
0273,ليل خير,مساء الخير
0274,مع_السلامه,مع السلامه
0275,سوال ازعاج سوال,من يزعجك
0276,هو دواء ماضي يوجد,هل تناولت اي ادويه
0277,هو يوجد تحويل د,هل لديك تحويا من الطبيب
0278,انا نعم د بطن,نعم من طبيب الجهاز الهضمي
0279,هو يوجد تامين,هل لديك تامين
0280,نعم تامين,نعم لدي تامين
0281,هو رخصه سياره هو,هل لديك رخصه سياره
0282,هو بطاقه صوره هويه هو,هل عندك بطاقه هويتك
0283,ثاني صوره سوال جواز_سفر,و صوره جواز السفر
0284,ولاده طفل اتقان,ولد الطفل سليم
0285,ولاده ماضي تسع,ولد الطفل قبل الاوان
0286,وجوب طلب صوره هويه,يجب عليك احضار صوره من هويتك
0287,سوال هو هاتف مشاهده سوال,هل رايت الهاتف
0288,طاوله على,على الطاوله
0289,استفهام سوال سرقه هاتف هو,من الذي سرق الهاتف
0290,هو كتابه تفاصيل حال,اكتب الحدث بالتفصيل
0291,هو عضو مع السعوديه قصه,هل انت عضو في الفريق السعودي
0292,نعم انا مع السعوديه قصه رمايه صم,نعم انا في الفريق السعودي للرمايه للصم
0293,غدا شهاده تقديم,ساحضر الشهاده غدا
0294,سوال عمر سن,كم عمرك
0295,انا تعليم ولد اخر شهاده,انا ادرس وابني لديه شهاده
0296,انا رغبه لا ممتاز,لا احتاج شيء
0297,هو قلم يوجد,هل لديك قلم
0298,هو كتابه تاريخ الان,اكتب تاريخ اليوم
0299,انا رغبه بطاقه سياره,اريد الحصول على رخصه قياده
0300,استفهام دواء قدره هو,هل تناولت الدواء
0301,انا نوم ليل,انام ليلا
0302,انا حب لون ابيض كره لون اسود,احب اللون الابيض واكره اللون الاسود
0303,انا رغبه شراء سوق لوحه,اريد ان اشتري اغراض منزلي من السوبرماركت
0304,انا اسم ا ح م د,اسمي احمد
0305,انا عمل ترجمه لغه اشاره,انا اعمل مترجم لغه اشاره
0306,انا قراءه كتاب,انا اقرا الكتاب
0307,انا مع اسره مع مشاهده كره_قدم مباراه,انا واسرتي ذهبنا لمشاهده مباراه كره قدم
0308,انا رغبه ذهاب مستشفى سبب ابن مرض,اريد الذهاب للمستشفى بسبب ابني مريض
0309,انا اب بيع تصوير,ابي باع الكاميرا
0310,اب انا لون حب لون ازرق ام لون حب سوال وردي,ابي يحب اللون الازرق وامي تحب اللون الوردي
0311,انا حب اب,احب ابي
0312,انا حب بنت اخ,احب اختي
0313,انا حب صلاه,احب صلاه
0314,انا حب اكل,احب الطعام
0315,انا حب صديق,احب زميلي
0316,انا اخ بنت جميل,اختي جميله
0317,انا اخ زواج الثلاثاء قادم,اخي سيتزوج يوم الثلاثاء القادم
0318,حقيبه_ظهر حقيبه_يد خفيف,الحقيبه خفيفه
0319,انا اخ سياره سرعه,اخي يقود السياره بسرعه
0320,انا مساعده ام منزل,اساعد امي في المنزل
0321,انا مساعده فقير,اساعد الفقراء
0322,انا صديق مدرسه مع ثلاث بنت ولد خمس,اصدقائي في المدرسه ثلاث بنات و خمس اولاد
0323,انا معرفه لغه اشاره,انا اتعلم لغه الاشاره
0324,انا وضوء صلاه,انا اتوضا للصلاه
0325,انا حب كره_قدم صيد سمكه,انا احب كره القدم وصيد السمك
0326,انا طاعه سوال معلم,انا احترم المعلم
0327,انا زياره اقارب مستمر,انا ازور اقاربي دائما
0328,انا عمل معلم مدرسه,انا اعمل معلم مدرسه
0329,انا نار خلط صباح اكل,انا اجهز الفطور
0330,انا حفظ مدرسه قراءه,انا احفظ الدرس
0331,انا مدرسه جامعه,انا ادرس في الجامعه
0332,انا معرفه قراءه مدرسه,انا اذاكر دروسي
0333,انا ذهاب مدرسه,انا اذهب للمدرسه
0334,انا مشي منزل,انا اذهب للمنزل
0335,انا فوضى ترتيب غرفه نوم,انا ارتب غرفتي
0336,انا طاعه معلم بنت,انا استمع للمعلمه
0337,انا ذهاب مع اب صلاه الجمعه,انا ذاهب مع والدي الي صلاه الجمعه
0338,انا زوج مع كل_يوم مشي,انا وزوجتي نمشي يوميا
0339,اب نوم سرير,ابي ينام على السرير
0340,الاسبوع_الماضي جد موت رحمه الله,الاسبوع الماضي جدي مات رحمه الله
0341,الاسبوع_الماضي صديق جد موت,الاسبوع الماضي صديقي جده مات
0342,الجمعه السبت اجازه,الجمعه و السبت عطله
0343,شرطه قال ممنوع انتظار,الشرطي قال ممنوع الانتظار
0344,صيف نهايه ذهاب برد,الصيف انتهى و جاء الشتاء
0345,غني مساعده فقير,الغني يساعد الفقير
0346,ولد ذهاب مدرسه ابتسامه,الولد يخرج من المدرسه سعيد
0347,ولد دخل مدرسه خوف,الولد يدخل المدرسه خائف
0348,هو ابن بنت اول عمر سن سوال اسم سوال,ابنتك الاولى كم عمرها و ما اسمها
0349,رقم عمر ابن ولد,كم عمر ابنك
0350,اب هو اسم سوال,ابوك ما اسمه
0351,ام اب صم,ابي و امي من الصم
0352,انا اخ موزه اكل صباح,اخي ياكل الموز صباحا
0353,استيقاظ وقت ست صباح,استيقظ الساعه السادسه فجرا
0354,اسف فهم كلام لا انا,اسف لا افهم ما تقول
0355,انا اسم م ر ا د,اسمي مراد
0356,انا تنظيف_اسنان,اغسل اسناني
0357,غسل_وجه,اغسل وجهي
0358,غسل_يد,اغسل يدي
0359,بحر لون ازرق,البحر ازرق
0360,عضل رياضه فائده صحه,البروتين مفيد للجسم
0361,منزل جدار لون ابيض,الجدار ابيض
0362,مدرسه سهل,الدرس سهل
0363,مدرسه مشاهده فائده,الدرس مفيد
0364,ولد شخص صعود جبل,الرجل يصعد الجبل
0365,السبت ماضي انا تعب,السبت الماضي كنت متعب
0366,السلام_عليكم,السلام عليكم
0367,ولد بناء منزل جميل,الشاب يبني بيت جميل
0368,شباب شخص رغبه سباحه,الشاب يحب السباحه
0369,صلاه حلو,الصلاه جميله
0370,د مساعده انسان,الطبيب يساعد الناس
0371,اكل فائده مستشفى,الطعام صحي
0372,قلم لون ازرق,القلم ازرق
0373,لون قلم انا خاص,القلم هذا لي
0374,مدرسه جميل,الكتاب رائع
0375,ترجمه سريع ذكي,المترجم سريع وذكي
0376,نوم فندق ممتاز سعيد,النوم بالفندق مريح
0377,ولد هو كتابه,الولد يكتب الدرس
0378,ولد شخص لعب,الولد يلعب
0379,مع_السلامه,الى اللقاء
